	Number of Epoch	Training -Dist	Validation - Dist	Training Time(CPU time/s)	Validation Time(CPU time/s)
	1	129.66235	128.68583	67.94411	2.74644
	2	110.67510	109.63483	71.73891	2.63861
	3	100.36494	99.47950	66.31398	2.78457
	4	93.98883	92.95483	79.53380	2.69216
	5	89.50392	88.54908	64.52675	2.81716
	6	86.02762	85.17508	84.19678	2.81634
	7	83.33223	82.39242	66.60262	2.77639
	8	80.99977	80.16500	66.18084	2.72609
	9	79.01665	78.20542	67.14441	2.82722
	10	77.23044	76.48033	69.95086	2.79515
	11	75.73200	74.89833	66.09631	2.83042
	12	74.31448	73.57825	93.48488	2.77559
	13	73.03917	72.28183	63.69330	2.76670
	14	71.94290	71.30058	66.96514	2.77047
	15	70.85542	70.25625	69.73664	2.85222
	16	69.96856	69.09925	64.03708	2.72450
	17	69.03065	68.28942	94.21499	2.68217
	18	68.22227	67.58392	66.35762	2.81365
	19	67.39992	66.75142	93.58348	2.74051
	20	66.67958	66.08525	88.05075	2.82842
	21	65.97619	65.38225	80.84077	2.51837
	22	65.34573	64.62817	65.02919	2.62836
	23	64.72452	64.04292	91.02801	2.68332
	24	64.12410	63.50617	68.29823	2.82307
	25	63.54633	63.10092	81.04172	2.64774
	26	63.07485	62.52950	87.52301	2.78850
	27	62.51927	61.95025	95.11298	2.73303
	28	62.08373	61.53017	70.96749	2.80359
	29	61.56356	61.03350	83.37208	2.80226
	30	61.18487	60.48608	67.52255	2.57311
	31	60.75500	60.18550	94.82820	2.76361
	32	60.31813	59.74967	77.98093	2.76126
	33	59.91619	59.50675	71.28644	2.79512
	34	59.55296	58.97542	76.24529	2.43589
	35	59.22735	58.61167	99.46498	2.83096
	36	58.84912	58.39092	97.50060	2.59393
	37	58.51800	58.03958	63.85347	2.50334
	38	58.13431	57.52967	80.05840	2.32437
	39	57.83860	57.37367	86.75917	2.56301
	40	57.60717	57.14292	66.31336	2.57096
	41	57.25435	56.76958	76.83240	2.40108
	42	56.97323	56.52025	70.72120	2.66623
	43	56.74425	56.15133	69.08312	2.47590
	44	56.40606	55.94433	73.43493	2.43556
	45	56.15244	55.67017	56.23586	2.51647
	46	55.94829	55.43142	61.06339	2.67529
	47	55.60698	55.20783	78.26069	2.15762
	48	55.42821	54.98967	81.18443	2.53181
	49	55.19798	54.71767	67.09229	2.70501
	50	54.91860	54.51058	76.54981	2.40866
	51	54.73342	54.27758	98.19381	2.57455
	52	54.51040	54.03733	74.59109	2.28755
	53	54.31329	53.92683	73.35120	2.46572
	54	54.16262	53.62292	68.91290	2.36618
	55	53.82296	53.39083	67.36512	2.46080
	56	53.66346	53.34700	93.95675	2.89099
	57	53.45175	53.10925	62.71338	2.65439
	58	53.23150	52.86983	77.93896	2.18990
	59	53.03210	52.65592	73.03849	2.52420
	60	52.91125	52.55600	86.09580	2.22576
	61	52.70225	52.38500	93.54018	2.48835
	62	52.54490	52.18225	74.18311	2.55632
	63	52.35848	52.03933	69.89309	2.79154
	64	52.25950	51.81717	84.83755	2.71597
	65	52.04252	51.78425	65.19831	2.87868
	66	51.91785	51.57075	71.36458	2.60432
	67	51.76815	51.42492	89.16798	2.51420
	68	51.59094	51.19642	68.08285	2.45687
	69	51.41367	51.00492	75.12157	2.51677
	70	51.32531	50.97517	77.49371	2.36560
	71	51.17642	50.79308	79.09777	2.82956
	72	50.99083	50.60425	67.24023	2.78575
	73	50.85154	50.56950	73.79335	2.62215
	74	50.70467	50.47667	83.77349	2.66070
	75	50.59183	50.29708	76.47941	2.47370
	76	50.43335	50.25092	71.04609	2.59663
	77	50.33108	49.90750	63.96333	2.74348
	78	50.16852	49.88117	69.52265	2.75168
	79	50.03431	49.71975	83.07712	2.77136
	80	49.92442	49.74358	99.41032	2.73283
	81	49.76879	49.49492	61.79463	2.51621
	82	49.67265	49.25408	67.99451	2.50519
	83	49.55471	49.20242	74.63564	2.45408
	84	49.43696	49.05783	66.25989	2.65489
	85	49.29623	48.99842	72.09205	2.19860
	86	49.18800	48.94450	63.31694	2.43374
	87	49.08523	48.78558	66.31093	2.51602
	88	49.03760	48.66000	77.95622	2.36543
	89	48.88077	48.47033	84.03211	2.70860
	90	48.74425	48.43850	80.91399	2.79205
	91	48.68967	48.36675	72.68259	2.85481
	92	48.54244	48.24525	67.75687	2.54987
	93	48.46573	48.13233	104.10039	2.76006
	94	48.31281	48.05950	70.73974	2.21192
	95	48.24488	48.00133	69.29074	2.83903
	96	48.14098	47.93875	69.77361	2.71720
	97	48.02013	47.70417	67.12145	2.80531
	98	47.94485	47.64167	66.44348	2.80231
	99	47.88460	47.56458	67.17158	2.33829
	100	47.75735	47.53858	69.07768	2.41365
