	Number of Epoch	Training -Dist	Validation - Dist	Training Time(CPU time/s)	Validation Time(CPU time/s)
	1	145.93333	144.66900	129.42388	2.37273
	2	128.75935	127.62300	123.01214	2.05625
	3	117.77571	116.70125	136.26649	2.13584
	4	110.62867	109.63483	190.59132	2.12053
	5	105.63650	104.65817	125.93601	2.07504
	6	101.95869	101.02650	122.58317	2.14349
	7	99.13492	98.22758	112.19962	2.14836
	8	96.83396	95.97133	114.52414	2.19183
	9	94.76392	93.83283	140.82646	2.19673
	10	93.02300	92.15608	177.95495	2.12402
	11	91.39631	90.46775	147.76520	2.07291
	12	89.85240	88.99275	119.04926	2.20251
	13	88.55506	87.64325	116.09738	2.06751
	14	87.31706	86.53850	139.76886	2.13736
	15	86.22937	85.52633	126.19157	2.14765
	16	85.18625	84.40608	124.49605	2.03947
	17	84.21623	83.28725	144.70952	2.21901
	18	83.30515	82.53950	115.19445	2.18272
	19	82.39621	81.53467	114.26089	2.17172
	20	81.64377	80.79217	112.42095	2.15401
	21	80.92390	80.05292	121.97691	2.05193
	22	80.17306	79.36725	115.36673	2.03351
	23	79.53469	78.68108	115.76985	2.21791
	24	78.84735	78.02217	116.10541	2.05595
	25	78.21225	77.46675	121.33356	2.15736
	26	77.63871	76.93150	115.57988	2.10804
	27	77.11846	76.39100	115.41218	2.16152
	28	76.51817	75.79392	116.62043	2.27811
	29	76.01802	75.34958	158.59202	2.05318
	30	75.60719	74.73925	118.57148	2.03089
	31	75.09119	74.40442	129.76553	2.05494
	32	74.70685	73.88192	114.37260	2.15930
	33	74.14504	73.44208	134.58145	2.18293
	34	73.78056	73.03258	134.15337	2.18246
	35	73.35665	72.58133	134.07176	2.18885
	36	72.99515	72.29258	134.16743	2.19442
	37	72.58425	72.01967	133.97914	2.18327
	38	72.24354	71.51208	134.56490	2.22270
	39	71.85777	71.19992	133.72901	2.20862
	40	71.49727	70.87275	133.50867	2.15837
	41	71.21521	70.54417	133.19342	2.19600
	42	70.88346	70.23017	133.54843	2.18462
	43	70.62535	70.04292	133.34641	2.18116
	44	70.28252	69.54633	133.39298	2.14655
	45	69.97300	69.22817	133.36922	2.17720
	46	69.66606	68.99617	132.44227	2.14677
	47	69.38035	68.82175	132.65958	2.16250
	48	69.14262	68.48858	132.65516	2.15219
	49	68.86431	68.31833	132.40823	2.15571
	50	68.60644	68.01483	132.53434	2.18608
	51	68.38815	67.73392	132.26758	2.16302
	52	68.09525	67.50700	133.61973	2.16377
	53	67.90237	67.23017	133.39017	2.17345
	54	67.66246	67.03908	133.78930	2.22571
	55	67.42194	66.94783	133.58500	2.17605
	56	67.18308	66.61883	133.68049	2.16567
	57	67.02635	66.33775	133.76088	2.17122
	58	66.77348	66.27417	133.58978	2.19223
	59	66.58394	65.92517	133.97016	2.19577
	60	66.36067	65.75200	133.16124	2.19501
	61	66.18073	65.53850	132.94938	2.14631
	62	65.97350	65.35942	133.38164	2.15420
	63	65.79052	65.28025	132.90403	2.17305
	64	65.62040	65.13325	132.91144	2.21613
	65	65.42142	64.85208	133.01428	2.17628
	66	65.29090	64.63267	133.16794	2.17073
	67	65.07221	64.48692	132.85458	2.21089
	68	64.89635	64.31925	133.09366	2.20894
	69	64.74800	64.23642	133.00446	2.19535
	70	64.57002	63.98458	132.84547	2.15975
	71	64.42223	63.91675	132.84879	2.15964
	72	64.28600	63.79425	133.17309	2.14452
	73	64.08052	63.52067	133.26435	2.18320
	74	63.94517	63.33117	133.10208	2.18452
	75	63.80440	63.25108	133.39368	2.14848
	76	63.60040	63.07817	133.04578	2.16511
	77	63.51906	63.02708	133.10320	2.19264
	78	63.33935	62.77658	133.34519	2.21146
	79	63.21083	62.72892	132.96350	2.23116
	80	63.12171	62.58533	133.36431	2.19810
	81	62.93006	62.36417	133.29689	2.18420
	82	62.79767	62.25133	133.35515	2.19266
	83	62.69665	62.19092	133.36158	2.14138
	84	62.55654	62.00917	133.46716	2.15038
	85	62.42892	61.86150	133.12440	2.14864
	86	62.27254	61.72075	133.15457	2.19738
	87	62.19433	61.57125	132.92291	2.16841
	88	62.10483	61.48558	133.36051	2.17573
	89	61.93390	61.43883	134.38131	2.16522
	90	61.87100	61.26333	133.05316	2.14431
	91	61.71010	61.27500	132.96947	2.15608
	92	61.61004	61.06033	133.71930	2.19580
	93	61.48127	60.92158	132.12603	2.20859
	94	61.35850	60.91892	132.50846	2.18360
	95	61.26575	60.66317	132.47903	2.18920
	96	61.14746	60.55058	132.79267	2.13750
	97	61.08865	60.51533	133.28819	2.19252
	98	60.95788	60.45025	132.71933	2.15949
	99	60.83308	60.32775	131.65677	2.16943
	100	60.72152	60.26325	131.41214	2.15904
