	Number of Epoch	Training -Dist	Validation - Dist	Training Time(CPU time/s)	Validation Time(CPU time/s)
	1	128.14256	126.98200	58.58561	2.10701
	2	109.01894	107.87683	66.01054	2.17166
	3	99.92021	99.04608	60.62779	2.11492
	4	94.41448	93.36517	62.20755	2.25210
	5	90.44952	89.55208	60.39502	2.20237
	6	87.13558	86.22383	76.59705	2.16312
	7	84.59483	83.68125	63.98804	2.19656
	8	82.36425	81.58833	66.03031	2.15987
	9	80.47946	79.62225	84.52499	2.13303
	10	78.69669	77.96767	86.47906	2.30917
	11	77.24642	76.47783	70.39241	2.17746
	12	75.90619	75.12433	65.83886	2.12819
	13	74.63550	73.87417	70.49250	2.15367
	14	73.59337	72.86267	71.44996	1.99458
	15	72.62490	71.75867	73.70192	2.00285
	16	71.59638	70.91008	77.15789	2.06735
	17	70.78471	70.15000	69.14232	2.11824
	18	70.00946	69.26717	69.08270	2.04082
	19	69.20529	68.53950	76.96340	2.12758
	20	68.49083	67.82367	74.41995	2.15537
	21	67.90444	67.27983	71.00479	2.16205
	22	67.23860	66.55600	66.84470	2.03715
	23	66.69198	66.09458	66.10913	2.20607
	24	66.18887	65.51425	70.24058	2.11711
	25	65.67677	65.01083	75.83746	2.07430
	26	65.16654	64.52458	79.02474	2.08627
	27	64.76127	64.19775	67.32458	2.08393
	28	64.27783	63.77308	73.30048	2.08978
	29	63.90346	63.37308	60.09440	2.09123
	30	63.45892	62.88217	69.41468	1.82716
	31	63.07792	62.58592	75.99975	2.04815
	32	62.68487	62.03958	87.33274	2.11916
	33	62.37496	61.85600	66.47242	2.40023
	34	61.98471	61.34808	61.07723	2.10492
	35	61.66521	61.11917	71.84144	2.02187
	36	61.31500	60.83550	80.07767	2.14421
	37	61.04596	60.49250	75.48067	2.05877
	38	60.76521	60.23067	72.17427	2.00823
	39	60.49808	59.95267	66.03420	2.11588
	40	60.22685	59.72100	65.13443	2.10665
	41	60.00010	59.51850	60.39439	2.08859
	42	59.67881	59.21542	68.00088	2.05645
	43	59.44992	58.94858	94.63170	2.11103
	44	59.22869	58.67033	80.14694	2.20900
	45	58.97896	58.50167	64.25874	2.15213
	46	58.72760	58.33492	89.41570	2.19604
	47	58.56623	58.10183	71.33146	1.98149
	48	58.40146	57.79242	75.75329	2.11994
	49	58.14092	57.51717	59.40553	2.17535
	50	57.90396	57.60492	60.70929	2.10469
	51	57.76133	57.25900	70.19912	2.21453
	52	57.53190	57.05233	65.93527	2.09905
	53	57.36846	56.87425	92.28139	2.10530
	54	57.20427	56.78192	80.08578	2.14124
	55	56.93525	56.55083	74.15889	2.18857
	56	56.88592	56.42642	74.27272	2.22626
	57	56.66752	56.11358	73.67503	2.25008
	58	56.52404	56.08217	71.55901	2.20576
	59	56.37167	55.92858	72.44779	2.27021
	60	56.21371	55.84908	74.74909	2.30088
	61	56.06948	55.62100	76.04580	2.14720
	62	55.83765	55.48567	78.85514	2.12346
	63	55.75588	55.23842	78.24769	2.20271
	64	55.60700	55.15917	77.24569	2.17694
	65	55.50302	55.10000	73.05715	2.24427
	66	55.33819	54.84975	74.61854	2.14820
	67	55.22908	54.77250	79.62714	2.22325
	68	55.07646	54.65492	65.52112	2.17234
	69	54.96754	54.47267	70.95686	2.15144
	70	54.83952	54.42525	75.09116	2.19972
	71	54.66408	54.25292	75.67898	2.25217
	72	54.60869	54.19500	76.85353	2.25631
	73	54.43502	54.01333	76.17179	2.13078
	74	54.43906	54.00767	94.22295	1.93243
	75	54.31894	53.89633	76.16330	2.07557
	76	54.06425	53.67767	64.44928	2.14504
	77	54.00410	53.61117	66.71364	2.11031
	78	53.90177	53.50608	82.04411	2.10688
	79	53.75212	53.34558	58.67168	2.24040
	80	53.70260	53.29517	58.39200	2.21269
	81	53.65573	53.21225	61.86054	2.19539
	82	53.43550	53.03467	58.64561	2.12985
	83	53.36173	52.92992	60.12549	2.21982
	84	53.29265	52.85975	77.86551	2.16140
	85	53.19792	52.79875	66.98415	2.23871
	86	53.06458	52.81408	61.91772	2.22231
	87	52.99744	52.61617	62.09664	2.37503
	88	52.89277	52.62675	69.41949	2.15878
	89	52.81827	52.42217	67.59429	2.18530
	90	52.71569	52.42675	85.89273	2.13135
	91	52.70210	52.18925	76.06649	2.25133
	92	52.58242	52.22508	69.01740	2.12237
	93	52.46181	52.10958	66.75936	2.13448
	94	52.39506	52.00333	55.91765	2.17463
	95	52.32169	52.02900	60.25831	2.18257
	96	52.24627	51.86942	74.31440	2.35120
	97	52.15846	51.78733	87.26175	2.10137
	98	52.06985	51.67867	73.29590	2.00477
	99	51.99729	51.60575	81.19451	2.21484
	100	51.88633	51.61417	61.14834	2.17004
