	Number of Epoch	Training -Dist	Validation - Dist	Training Time(CPU time/s)	Validation Time(CPU time/s)
	1	173.99640	172.59583	40.63342	2.14202
	2	153.70283	152.44133	40.11013	2.13645
	3	142.70044	141.66642	40.31452	2.14455
	4	134.67656	133.66242	40.60939	2.19384
	5	128.11306	126.95208	40.92704	2.18718
	6	122.74085	121.79817	41.35269	2.21513
	7	118.41708	117.44083	41.41380	2.11272
	8	114.72017	113.73600	40.85420	2.22064
	9	111.70460	110.55258	40.86805	2.16291
	10	109.05367	107.95475	40.77899	2.14230
	11	106.77642	105.82308	40.34139	2.17662
	12	104.63625	103.70267	39.88485	2.17392
	13	102.94946	102.01667	39.20318	2.13417
	14	101.38094	100.41683	38.80976	2.17421
	15	99.93717	99.06117	38.78194	2.04445
	16	98.71154	97.77275	39.31930	2.17775
	17	97.52383	96.55483	39.50930	2.09756
	18	96.38125	95.45175	39.83254	2.09866
	19	95.34215	94.42708	40.51662	2.14972
	20	94.35277	93.53567	41.27755	2.15072
	21	93.45360	92.51642	40.73141	2.14062
	22	92.60865	91.66300	41.07939	2.16034
	23	91.79754	90.89433	41.36174	2.17262
	24	91.07298	90.10583	43.14324	2.16468
	25	90.27202	89.44767	40.94438	2.10977
	26	89.66777	88.94033	41.00361	2.15711
	27	88.98279	88.12133	40.47592	2.15163
	28	88.35238	87.51358	40.98733	2.15511
	29	87.72679	86.87217	40.89551	2.17231
	30	87.08856	86.21950	40.94105	2.15083
	31	86.55783	85.77300	39.81009	2.13853
	32	86.07137	85.19317	41.88819	2.15445
	33	85.53206	84.67617	39.62103	2.18463
	34	85.02710	84.20658	39.53986	2.15696
	35	84.49990	83.68742	39.76634	2.16300
	36	84.10444	83.29050	39.50215	2.21316
	37	83.55873	82.88067	39.77235	2.18569
	38	83.18990	82.26825	40.15521	2.14404
	39	82.73900	81.85208	40.95633	2.13855
	40	82.32360	81.51117	40.75478	2.21452
	41	81.93552	81.22867	41.50445	2.18087
	42	81.49460	80.73700	42.41442	2.42799
	43	81.17446	80.35225	43.11954	2.19200
	44	80.81067	79.92608	42.56861	2.16624
	45	80.35287	79.51783	40.99788	2.13153
	46	80.01385	79.29967	43.35512	2.12060
	47	79.69179	78.80708	43.62055	2.14987
	48	79.32967	78.53783	41.72603	2.17472
	49	79.07023	78.24358	40.32451	2.15567
	50	78.70063	77.94233	40.23248	2.13772
	51	78.43108	77.62050	40.40715	2.14130
	52	78.11163	77.29900	40.07250	2.14641
	53	77.80996	77.02692	40.34773	2.10509
	54	77.50596	76.69658	39.15238	2.14859
	55	77.21577	76.47275	39.42738	2.14234
	56	76.97983	76.17500	39.65100	2.17096
	57	76.69700	75.84142	39.22841	2.10002
	58	76.40417	75.59358	40.27883	2.13906
	59	76.10019	75.33708	41.09128	2.13843
	60	75.82377	75.14400	40.64382	2.14838
	61	75.61710	74.80667	40.79208	2.11154
	62	75.34346	74.54783	41.75573	2.22187
	63	75.09775	74.35617	41.89750	2.11112
	64	74.88071	74.18883	41.29185	2.17066
	65	74.68427	73.99475	41.50292	2.09154
	66	74.45356	73.69025	40.53949	2.11380
	67	74.15610	73.43267	40.37690	2.19482
	68	73.97556	73.26808	40.09878	2.13884
	69	73.82081	73.03575	43.51432	2.14199
	70	73.56190	72.81775	40.35139	2.13208
	71	73.36317	72.62983	41.02635	2.14308
	72	73.16098	72.37667	41.61674	2.15875
	73	72.94848	72.17642	42.11201	2.15353
	74	72.73240	71.93675	39.54815	2.14972
	75	72.55919	71.71983	41.36017	2.09848
	76	72.32510	71.54908	39.55016	2.14686
	77	72.16369	71.37558	39.64887	2.13097
	78	71.96594	71.30875	40.03758	2.14841
	79	71.75488	71.06183	40.33180	2.13835
	80	71.55729	70.90833	40.99683	2.14875
	81	71.43573	70.62350	44.37600	2.12079
	82	71.25919	70.55875	41.46308	2.12402
	83	71.08723	70.42600	43.07532	2.23627
	84	70.88667	70.26283	42.24425	2.18998
	85	70.75060	70.06875	43.75533	2.15442
	86	70.61271	69.87767	41.33381	2.14322
	87	70.43679	69.74717	41.55923	2.13173
	88	70.31215	69.55050	42.21163	2.15190
	89	70.13202	69.52333	42.40820	2.18818
	90	69.98110	69.29058	41.43724	2.21103
	91	69.81490	69.08692	41.37956	2.12066
	92	69.67637	68.98775	42.29387	2.17068
	93	69.57254	68.87967	40.92801	2.13508
	94	69.35673	68.62675	43.41558	2.17518
	95	69.21454	68.47192	41.58971	2.16639
	96	69.06823	68.33400	41.63076	2.13372
	97	68.98100	68.29217	40.23071	2.13134
	98	68.76929	68.28492	39.50922	2.16768
	99	68.64867	67.94067	38.77848	2.12098
	100	68.54615	67.86683	38.97191	2.13492
